locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/60619668e8cf2c73ca0714f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,7.0 km,6997,39 mins,2335,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-4-na-jezerce/602e2466c61f213a5a2bbe12/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Na Jezerce 4, 140 00 Praha 4-Nusle, Czechia",OK,OK,5.3 km,5261,35 mins,2122,CZK,CZK 24.00,24
https://www.prazskereality.cz/prostorny-zrekonstruovany-byt-2-kk-o-celkove-obytne-plos-7376354.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","nám. Dr. Václava Holého 1049, Libeň, 180 00 Praha-Praha 8, Czechia",OK,OK,5.2 km,5221,20 mins,1170,CZK,CZK 24.00,24
https://www.prazskereality.cz/prostorny-byt-2-kk-s-orientaci-na-sever-o-celkove-obytne-7380880.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Konšelská 1011/17, 180 00 Praha 8-Libeň, Czechia",OK,OK,6.4 km,6373,22 mins,1347,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/6066acbea8dc1e634a74dcc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,7.0 km,6997,39 mins,2335,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-2-polska/5fe988936774a0525b228273/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Polská 936, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,1.2 km,1232,14 mins,858,,,
https://reality.idnes.cz/detail/prodej/byt/praha-3-jicinska/6032e8d1a141d345bd7114d3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Přemyslovská 48/13, 130 00 Praha 3-Vinohrady, Czechia",OK,OK,2.8 km,2787,32 mins,1939,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-voskovcova/6064fdc7dff8891ec65b3563/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Voskovcova 934/31, 152 00 Praha 5-Hlubočepy, Czechia",OK,OK,9.3 km,9332,30 mins,1783,CZK,CZK 24.00,24
https://www.prazskereality.cz/v-exkluzivnim-zastoupeni-vlastnika-nabizime-k-prodeji-po-7372181.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Rybná 21, 110 00 Praha 1-Staré Město, Czechia",OK,OK,1.0 km,1042,13 mins,781,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-nad-rokoskou/60757198f8cd2b5cf84f3083/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Nad Rokoskou 17, 182 00 Praha 8, Czechia",OK,OK,10.8 km,10797,44 mins,2649,CZK,CZK 24.00,24
https://www.prazskereality.cz/dovolujeme-si-nabidnout-k-prodeji-tento-plny-denniho-sve-7301478.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Varšavská 1077, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,1.9 km,1879,22 mins,1339,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-samova/60043fdcdbaf0c21e907cfa2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Sámova 10, Vršovice, 110 00 Praha-Praha 10, Czechia",OK,OK,4.0 km,3956,20 mins,1224,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487ddc9678d1183c4e7043/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,7.4 km,7391,33 mins,2009,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487e989206c928db7f7003/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,7.4 km,7391,33 mins,2009,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10-francouzska/608a801aaf95980ddb785567/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Francouzská 230, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,1.4 km,1440,17 mins,1021,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-radounova/6051affd0dbae778b62d60f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Radouňova 417/5, 155 00 Řeporyje, Czechia",OK,OK,16.9 km,16859,1 hour 7 mins,4033,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-14-cernodolska/6087fc322e9d0a127b0f11d5/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Černodolská 190 12, 190 12 Praha-Dolní Počernice, Czechia",OK,OK,12.4 km,12399,35 mins,2108,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-peroutkova/5d243fa737ba4d11e10f2d03/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Na Farkáně III 46, 150 00 Praha 5, Czechia",OK,OK,14.8 km,14829,46 mins,2769,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-sokolovska/6061ec4d62fd983c78598b33/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Sokolovská 1278, 180 00 Praha 8-Libeň, Czechia",OK,OK,4.9 km,4935,19 mins,1126,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-3-velehradska/6068d78d15774740e10ce253/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Velehradská 3, 130 00 Praha 3-Vinohrady, Czechia",OK,OK,2.4 km,2350,27 mins,1612,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/6006b690cf9e7c60bc30cc23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,15.6 km,15644,38 mins,2284,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-sokolovska/6006c17199ce1a62d07ac7c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Sokolovská 1278, 180 00 Praha 8-Libeň, Czechia",OK,OK,4.9 km,4935,19 mins,1126,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f89c4a93b6d154dc641bb53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Vlkovická 668/3, 198 00 Praha 14-Kyje, Czechia",OK,OK,9.9 km,9929,29 mins,1713,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-travnickova/608dac81ef84cf135f1f50f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Trávníčkova 5, 155 00 Praha 13, Czechia",OK,OK,11.5 km,11454,28 mins,1691,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-nepomuckych/6077024f8520c350083cf943/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Nepomuckých 780, 199 00 Praha 18, Czechia",OK,OK,21.3 km,21258,53 mins,3159,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f4991d9558f07360b032b53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Ortenovo nám. 1311, 170 00 Praha 7-Holešovice, Czechia",OK,OK,4.6 km,4629,30 mins,1815,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-1-spalena/5ffd9da1e89c690aaa59af93/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Studio Dermacol - Quadrio, Spálená 2121 OC Quadrio, přízemí, 110 00 Praha 1, Czechia",OK,OK,0.7 km,748,9 mins,553,,,
https://sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-husitska/2297600604,"stanice metra Můstek, 110 00 Praha 1, Czechia","U Památníku, 130 00 Praha-Praha 3, Czechia",OK,OK,1.9 km,1875,25 mins,1473,,,
https://www.prazskereality.cz/exkluzivne-nabizime-klimatizovany-byt-4-kk-umisteny-v-5--6726946.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Soukenická 22, 110 00 Praha 1-Petrská čtvrť, Czechia",OK,OK,1.2 km,1240,16 mins,931,,,
https://www.prazskereality.cz/s-ohledem-na-aktualni-situaci-bychom-vas-chteli-ujistit--7336165.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Perucká 9, Vinohrady, 120 00 Praha-Praha 2, Czechia",OK,OK,1.9 km,1859,23 mins,1391,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60488350a619b1059b19ee43/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Počernická 797/10, 100 00 Praha-Strašnice, Czechia",OK,OK,7.4 km,7391,33 mins,2009,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-plzenska/5fbcdfd9ccd4e866553a11c2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Plzeňská 21/312, 150 00 Praha 5-Motol, Czechia",OK,OK,9.0 km,8986,29 mins,1749,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-2-sumavska/606de32216de4653f966f122/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Slovenská 9, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,2.0 km,1956,22 mins,1331,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-u-sluncove/60215512e8623b183d12da23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","U Sluncové 186 00, 186 00 Praha 8-Invalidovna, Czechia",OK,OK,3.7 km,3723,46 mins,2767,,,
https://reality.idnes.cz/detail/prodej/byt/praha-9-ucnovska/5f8d7e33aa5b1f36cd73f60d/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Učňovská 9, 190 00 Praha 9, Czechia",OK,OK,8.0 km,8031,37 mins,2216,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-1-senovazne-namesti/608152d5d2e350769330dd02/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Senovážné nám. 978/23, Nové Město, 110 00 Praha-Praha 1, Czechia",OK,OK,0.6 km,578,7 mins,431,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-petrohradska/608a703819c15702822b7bc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Petrohradská 6/7, 101 00 Praha 10-Vršovice, Czechia",OK,OK,4.0 km,4021,21 mins,1245,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/5f560fd7e4cc1539894d3843/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,15.6 km,15644,38 mins,2284,CZK,CZK 24.00,24
https://sreality.cz/detail/prodej/byt/1+1/praha-liben-sokolovska/3606015324,"stanice metra Můstek, 110 00 Praha 1, Czechia","Sokolovská 1278, 180 00 Praha 8-Libeň, Czechia",OK,OK,4.9 km,4935,19 mins,1126,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/6021512801688d5f1317e6b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Ortenovo nám. 1311, 170 00 Praha 7-Holešovice, Czechia",OK,OK,4.6 km,4629,30 mins,1815,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-drahobejlova/5fcf8ef2c6147b68a76f3316/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Drahobejlova 9, 190 00 Praha 8-Libeň, Czechia",OK,OK,7.7 km,7694,35 mins,2116,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-senovska/60533f611ecfce3a097170e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Šenovská 34, 182 00 Ďáblice, Czechia",OK,OK,11.9 km,11919,32 mins,1944,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-5-toufarova/6076d09e013e9110e9487aa3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Toufarova 3015, 155 00 Řeporyje, Czechia",OK,OK,17.5 km,17531,1 hour 16 mins,4556,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/607db5e83aba95753032cd63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,3.6 km,3555,43 mins,2603,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-limuzska/604239027846e72ab70d175e/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Limuzská 2111/10, 100 00 Praha-Strašnice, Czechia",OK,OK,8.3 km,8255,45 mins,2688,CZK,CZK 24.00,24
