_id,price,area,owner,building_type,state,balcony,basement,elevator,floor,penb,terrace,city_part,street,city_part_number,rooms,kitchen
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f881f4480862a5a2d0582e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,7424000.0,56.0,osobní,cihlová,projekt,0.0,1.0,1.0,,B,0.0,Kyje,Herdovská,Praha 9,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-na-jezerce/602e2466c61f213a5a2bbe12/?s-et=flat&s-ot=sale&s-l=VUSC-19,4990000.0,53.0,osobní,cihlová,dobrý,0.0,0.0,1.0,1,G,0.0,Nusle,Na Jezerce,Praha 4,2.0,0.0
https://www.prazskereality.cz/dovolujeme-si-nabidnout-k-prodeji-tento-plny-denniho-sve-7301478.html,11900000.0,63.0,osobní,smíšená,velmi dobrý,1.0,1.0,1.0,3,D,0.0,Vinohrady,Varšavská,Praha 2,2.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-na-jarove/600ad6e9548df1346e6328d3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2800000.0,27.0,družstevní,panelová,dobrý,0.0,0.0,1.0,-1,G,0.0,Žižkov,Na Jarově,Praha 3,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-5-na-vaclavce/6081402e8f2641729e480b33/?s-et=flat&s-ot=sale&s-l=VUSC-19,8320000.0,67.0,osobní,cihlová,po rekonstrukci,0.0,1.0,0.0,1,G,0.0,Smíchov,Na Václavce,Praha 5,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-10-pocernicka/60487e989206c928db7f7003/?s-et=flat&s-ot=sale&s-l=VUSC-19,8085800.0,68.0,osobní,cihlová,novostavba,0.0,0.0,1.0,3,B,1.0,Strašnice,Počernická,Praha 10,2.0,0.0
https://www.remax-czech.cz/reality/detail/291938/prodej-bytu-4-kk-v-osobnim-vlastnictvi-173-m2-praha-5-smichov,28900000.0,173.0,,cihlová,velmi dobrý,0.0,0.0,0.0,6,G,0.0,Smíchov,,Praha 5,4.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/6066acbea8dc1e634a74dcc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,4300775.0,41.0,osobní,cihlová,ve výstavbě,0.0,0.0,1.0,3,B,0.0,Michle,U plynárny,Praha 4,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-8-senovska/60533f611ecfce3a097170e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2919597.0,25.0,osobní,smíšená,novostavba,0.0,0.0,0.0,2,B,0.0,Ďáblice,Šenovská,Praha 8,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-1-skorepka/60757a1734d0cf2aae0299b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,16000000.0,116.0,osobní,cihlová,dobrý,0.0,1.0,0.0,3,G,0.0,Staré Město,Skořepka,Praha 1,4.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-rehorova/60131af5735eb551081b8123/?s-et=flat&s-ot=sale&s-l=VUSC-19,4990000.0,46.0,osobní,cihlová,dobrý,0.0,0.0,0.0,,G,0.0,Žižkov,Řehořova,Praha 3,1.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a72480d91470d4a77d933/?s-et=flat&s-ot=sale&s-l=VUSC-19,11170000.0,85.0,osobní,skeletová,ve výstavbě,0.0,0.0,0.0,4,B,1.0,Suchdol,Stehlíkova,Praha 6,2.0,0.0
