_id,title,address,description,price,updated,size,area,owner,building_type,state,equipment,balcony,basement,elevator,barrier_free,floor,penb,terrace,city_part,city,street,building_state,floor_max,heating,locality,electricity,parking,gas,internet,annual_electricity,loggia,umistneni_objektu,doprava,voda,odpad,obcanska_vybavenost,id,garage,available_from,date_updated
https://www.prazskereality.cz/prostorny-hezky-svetly-byt-2-1-v-ov-umisteny-ve-2-np-cin-7386380.html,"Byt na prodej, 2+1, Praha 3 - Žižkov","Praha 3 - Žižkov, Čajkovského","Byt na prodej / 2+1 / 77 m2 - Byty na prodej typu 2+1 za nabídkovou cenu 7 700 000 Kč.
			Vybraná nemovitost - 2+1 se nachází v městské části Praha 3.
			Typ vlastnictví osobní.
			Plocha nemovitosti je 77 m2.
		 Dostupné od 23.04.2021.Prostorný, hezky světlý byt 2+1 v OV umístěný ve 2. NP činžovního domu s výtahem. Byt je situován v rezidenční lokalitě Žižkova nedaleko stanice metra Jiřího z Poděbrad, parku Riegrovy sady, Mahlerových sadů, tramvajové zastávky Olšanské náměstí, Lipanská a nákupního centra Flóra. Byt je renovovaný, orientace místností je na východ a západ. Byt má předsíň, halu, kuchyň s moderní kuchyňskou linkou v bílém lesku, plynovým sporákem, prostorem pro troubu, myčku a s místem pro kuchyňský stůl a židle, 2 velké pokoje - jeden orientovaný do klidné ulice, druhý do dvora. Dále je zde koupelna se sprchovým koutem, samostatná toaleta se sprškou, úložná místnost a velká komora s policemi, pračkou a sušičkou. V pokojích jsou parkety, v ostatních místnostech plovoucí podlahy a dlažba. V domě je kotelna zajišťující vytápění a ohřev teplé vody v bytech a společná kočárkárna. Plocha bytu 76,1 m2, k bytu patří sklepní kóje a možnost užívání společného balkonu přístupného ze společných prostor domu. Společný dvůr je udržovaný s prostorem na grilování.",7700000,23.04.2021,2+1,77,osobní,cihlová,velmi dobrý,FALSE,FALSE,TRUE,TRUE,FALSE,2,G,FALSE,Žižkov,Praha,Čajkovského,,,,,,,,,,,,,,,,,,,26.04.2021
https://www.prazskereality.cz/exkluzivne-nabizime-klimatizovany-byt-4-kk-umisteny-v-5--6726946.html,"Byt na prodej, 4+kk, Praha 1 - Nové Město","Praha 1 - Nové Město, Soukenická","Byt na prodej / 4+kk / 151 m2 - Byty na prodej typu 4+kk za nabídkovou cenu 19 500 000 Kč.
			Vybraná nemovitost - 4+kk se nachází v městské části Praha 1.
			Typ vlastnictví osobní.
			Plocha nemovitosti je 151 m2.
		 Dostupné od 23.04.2021.Exkluzivně nabízíme klimatizovaný byt 4+kk umístěný v 5. a 6. NP kvalitně zrekonstruovaného historického domu s výtahem v centru Prahy. K bytu patří parkovací stání a sklep. Dům je umístěn v historické části Prahy, nedaleko stanice metra Náměstí Republiky a tramvajové zastávky, v blízkosti mnoha obchodů, restaurací, bank, kaváren, v pěší vzdálenosti od Staroměstského náměstí, nákupního centra Palladium a Kotva. V pěší vzdálenosti jsou krásné Letenské sady. Byt s výměrou 151 m2 je tichý a hezky světlý,  má v nižším patře vstupní halu, prostorný obývací pokoj spojený s moderní kuchyní, toaletu, samostatné studio s koupelnou, toaletou a kuchyňkou, v horním podlaží je galerie, dvě ložnice s krásným výhledem do vnitrobloku na střechy domů, technická místnost, šatna, koupelna s vanou,  sprchou a toaletou. Na podlahách jsou parkety a dlažba, okna jsou dřevěná klasická i střešní, elektricky ovládaná. Vytápění plynovým kotlem. Byt nabízí příjemné a tiché bydlení v centru Prahy.",19500000,23.04.2021,4+kk,151,osobní,cihlová,po rekonstrukci,FALSE,FALSE,TRUE,TRUE,FALSE,6,G,FALSE,Nové Město,Praha,Soukenická,,,,,,,,,,,,,,,,,,,26.04.2021
