locations/id,locations/response/destination_addresses/0,locations/response/destination_addresses/1,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/rows/0/elements/1/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value,locations/response/rows/0/elements/1/distance/text,locations/response/rows/0/elements/1/distance/value,locations/response/rows/0/elements/1/duration/text,locations/response/rows/0/elements/1/duration/value,locations/response/rows/0/elements/1/fare/currency,locations/response/rows/0/elements/1/fare/text,locations/response/rows/0/elements/1/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-5-travnickova/608dac81ef84cf135f1f50f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Luka, 155 00 Praha-Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Trávníčkova 5, 155 00 Praha 13, Czechia",OK,OK,OK,0.2 km,189,2 mins,142,,,,11.5 km,11454,28 mins,1691,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/6001669b5096ae2b095817a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,OK,1.5 km,1457,20 mins,1181,,,,26.9 km,26903,55 mins,3294,,,
https://reality.idnes.cz/detail/prodej/byt/praha-13-precechtelova/60589328b1f7e719f3590562/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Unnamed Road, 158 00 Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Přecechtělova 2240/5, 155 00 Praha 13-Stodůlky, Czechia",OK,OK,OK,1.9 km,1912,24 mins,1427,,,,14.2 km,14191,1 hour 8 mins,4082,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-8-senovska/60533f611ecfce3a097170e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Střížkov, 190 00 Praha-Praha 9, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Šenovská 34, 182 00 Ďáblice, Czechia",OK,OK,OK,3.0 km,3026,39 mins,2326,,,,11.9 km,11919,32 mins,1944,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-9-nepomuckych/6077024f8520c350083cf943/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Letňany, 199 00 Praha-Praha 18, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Nepomuckých 780, 199 00 Praha 18, Czechia",OK,OK,OK,2.1 km,2130,26 mins,1589,,,,21.3 km,21258,53 mins,3159,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-4-k-vystrkovu/5ff31a4373bfa750f5146fe6/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Smíchovské nádraží, 150 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","K Vystrkovu 4, 143 00 Praha 12, Czechia",OK,OK,OK,18.8 km,18821,49 mins,2951,CZK,CZK 32.00,32,15.0 km,14997,39 mins,2361,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-toufarova/6076d09e013e9110e9487aa3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Stodůlky, 155 00 Praha-Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Toufarova 3015, 155 00 Řeporyje, Czechia",OK,OK,OK,1.0 km,1028,14 mins,837,,,,17.5 km,17531,1 hour 16 mins,4556,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a72480d91470d4a77d933/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Šolínova 1, 160 00 Praha 6-Dejvice, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Osvobození 1074, 165 00 Praha-Suchdol, Czechia",OK,OK,OK,5.4 km,5357,43 mins,2564,CZK,CZK 24.00,24,10.7 km,10749,40 mins,2405,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-2-polska/5fe988936774a0525b228273/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Náměstí Míru Praha, 120 00 Praha-Praha 2, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Polská 936, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,OK,0.5 km,459,6 mins,367,,,,1.2 km,1232,14 mins,858,,,
https://sreality.cz/detail/prodej/byt/4+kk/praha-podoli-v-podhaji/3491577436,"Smíchovské nádraží, 150 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","V Podhájí 1807, 147 00 Praha 4-Braník, Czechia",OK,OK,OK,4.1 km,4077,50 mins,3029,,,,13.3 km,13333,1 hour 8 mins,4070,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f881f4480862a5a2d0582e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Hloubětín, 198 00 Praha-Praha 14, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Vlkovická 668/3, 198 00 Praha 14-Kyje, Czechia",OK,OK,OK,2.1 km,2146,26 mins,1586,,,,9.9 km,9929,29 mins,1713,CZK,CZK 24.00,24
https://www.prazskereality.cz/prestante-snit-o-novem-bydleni-probudte-se-v-nem-vazeni--7336226.html,"Náměstí Míru 585/11, 120 00 Praha 2-Vinohrady, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Perucká 2481/5, Vinohrady, 120 00 Praha-Praha 2, Czechia",OK,OK,OK,1.0 km,1034,15 mins,895,,,,4.6 km,4580,28 mins,1654,CZK,CZK 24.00,24
https://www.prazskereality.cz/exkluzivne-nabizime-klimatizovany-byt-4-kk-umisteny-v-5--6726946.html,"nám. Republiky 1077, Nové Město, 110 00 Praha-Praha 1, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Soukenická 22, 110 00 Praha 1-Petrská čtvrť, Czechia",OK,OK,OK,0.4 km,433,6 mins,334,,,,1.2 km,1240,16 mins,931,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-peroutkova/5d243fa737ba4d11e10f2d03/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Radlická 158 00, 150 00 Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Na Farkáně III 46, 150 00 Praha 5, Czechia",OK,OK,OK,0.7 km,735,10 mins,578,,,,14.8 km,14829,46 mins,2769,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-1-masna/5f7ef5435b59a008ce1eb874/?s-et=flat&s-ot=sale&s-l=VUSC-19,"U Obecního domu 660/6, 110 00 Praha 1-Staré Město, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Masná, 110 00 Praha-Praha 1, Czechia",OK,OK,OK,0.5 km,468,6 mins,352,,,,1.1 km,1094,14 mins,818,,,
https://reality.idnes.cz/detail/prodej/byt/praha-1-spalena/5ffd9da1e89c690aaa59af93/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Magdalény Rettigové 82, Nové Město, 110 00 Praha-Praha 1, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Studio Dermacol - Quadrio, Spálená 2121 OC Quadrio, přízemí, 110 00 Praha 1, Czechia",OK,OK,OK,0.2 km,182,2 mins,135,,,,0.7 km,748,9 mins,553,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-jurkovicova/5ffb413a9549686edb5fa637/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Háje, 149 00 Praha-Praha 11, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Jurkovičova 969/6, 149 00 Praha 11, Czechia",OK,OK,OK,1.1 km,1066,14 mins,825,,,,12.1 km,12144,38 mins,2276,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/6081af39227dc13f7a5aad63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,OK,1.4 km,1359,18 mins,1078,,,,3.6 km,3555,43 mins,2603,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/6066acbea8dc1e634a74dcc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kačerov, 141 00 Praha-Praha 4, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,OK,2.8 km,2833,37 mins,2196,,,,7.0 km,6997,39 mins,2335,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-ucnovska/5f8d7e33aa5b1f36cd73f60d/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Sokolovská 274, Libeň, 180 00 Praha-Praha 9, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Učňovská 9, 190 00 Praha 9, Czechia",OK,OK,OK,3.1 km,3132,37 mins,2242,,,,8.0 km,8031,37 mins,2216,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/6006b690cf9e7c60bc30cc23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,OK,1.5 km,1457,20 mins,1181,,,,26.9 km,26903,55 mins,3294,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-na-vaclavce/6081402e8f2641729e480b33/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Radlická 158 00, 150 00 Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Na Václavce 32, 150 00 Praha 5, Czechia",OK,OK,OK,1.4 km,1412,20 mins,1228,,,,7.3 km,7251,38 mins,2276,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-6-liberijska/5fa6e279a4ec042395017562/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Liberijská 568, 160 00 Praha 6-Vokovice, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Liberijská 568, 160 00 Praha 6-Vokovice, Czechia",OK,OK,OK,13 m,13,1 min,9,,,,11.7 km,11668,44 mins,2636,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/6061953b5d7b494d7b1ac9b6/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kačerov, 141 00 Praha-Praha 4, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,OK,2.8 km,2833,37 mins,2196,,,,7.0 km,6997,39 mins,2335,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-4-sladkovicova/603646d29e944257a9530573/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kačerov, 141 00 Praha-Praha 4, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Sládkovičova 16, 142 00 Praha 4, Czechia",OK,OK,OK,2.6 km,2624,32 mins,1945,,,,10.6 km,10646,49 mins,2932,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-8-u-sluncove/5ff3a7a19759184f1a626513/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","U Sluncové 186 00, 186 00 Praha 8-Invalidovna, Czechia",OK,OK,OK,0.5 km,513,6 mins,368,,,,3.7 km,3723,46 mins,2767,,,
https://sreality.cz/detail/prodej/byt/3+1/praha-prosek-bilinska/3125828956,"Metro Střížkov, vestibul stanice metra, 190 00 Praha-Praha 9, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Bílinská 9, 190 00 Praha 9-Prosek, Czechia",OK,OK,OK,0.5 km,545,6 mins,384,,,,8.5 km,8472,40 mins,2400,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10/608d3c738831dc50304dda43/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Opatovská 871, 149 00 Praha 11, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Kašovická, Nové nám., 104 00 Praha 22-Uhříněves, Czechia",OK,OK,OK,6.3 km,6259,17 mins,1039,CZK,CZK 24.00,24,15.9 km,15919,42 mins,2534,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/605dd07f9ab2df514060cb93/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,OK,1.4 km,1359,18 mins,1078,,,,3.6 km,3555,43 mins,2603,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/60619668e8cf2c73ca0714f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kačerov, 141 00 Praha-Praha 4, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,OK,2.8 km,2833,37 mins,2196,,,,7.0 km,6997,39 mins,2335,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-toufarova/5ee98df337ba4d7b881db3e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Stodůlky, 155 00 Praha-Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Toufarova 3015, 155 00 Řeporyje, Czechia",OK,OK,OK,1.0 km,1028,14 mins,837,,,,17.5 km,17531,1 hour 16 mins,4556,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/607db5e83aba95753032cd63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,OK,1.4 km,1359,18 mins,1078,,,,3.6 km,3555,43 mins,2603,,,
https://reality.idnes.cz/detail/prodej/byt/praha-1-u-pujcovny/606dee67e42ee977bc1e85c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Vrchlického sady, 110 00 Praha 1-Nové Město, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","U Půjčovny 5, 110 00 Praha 1-Nové Město, Czechia",OK,OK,OK,0.4 km,370,5 mins,296,,,,0.5 km,520,6 mins,385,,,
https://www.prazskereality.cz/na-prodej-nove-zrekonstruovany-cihlovy-byt-2-kk-ktery-se-7309744.html,"Stroupežnického 253/1, Smíchov, 150 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Plzeňská 488, Smíchov, 150 00 Praha-Praha 5, Czechia",OK,OK,OK,1.0 km,977,13 mins,757,,,,2.9 km,2949,37 mins,2245,,,
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f89c4a93b6d154dc641bb53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Hloubětín, 198 00 Praha-Praha 14, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Vlkovická 668/3, 198 00 Praha 14-Kyje, Czechia",OK,OK,OK,2.1 km,2146,26 mins,1586,,,,9.9 km,9929,29 mins,1713,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-6-radimova/5fa517db170e7607461ed593/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Liberijská 568, 160 00 Praha 6-Vokovice, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Radimova 65, 169 00 Praha 6-Břevnov, Czechia",OK,OK,OK,2.1 km,2138,29 mins,1762,,,,4.8 km,4827,58 mins,3459,,,
https://www.prazskereality.cz/dovolujeme-si-nabidnout-k-prodeji-tento-plny-denniho-sve-7301478.html,"Náměstí Míru 585/11, 120 00 Praha 2-Vinohrady, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Varšavská 1077, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,OK,0.6 km,628,8 mins,483,,,,1.9 km,1879,22 mins,1339,,,
https://reality.idnes.cz/detail/prodej/byt/praha-6/6086c052fcf6b00d12134a53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Zličín, 155 00 Praha-Zličín, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Severýnova 8, 163 00 Praha 17, Czechia",OK,OK,OK,2.8 km,2767,36 mins,2167,,,,22.3 km,22292,53 mins,3180,,,
https://www.prazskereality.cz/prostorny-byt-2-kk-s-orientaci-na-sever-o-celkove-obytne-7380880.html,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Konšelská 1011/17, 180 00 Praha 8-Libeň, Czechia",OK,OK,OK,1.1 km,1114,13 mins,797,,,,6.4 km,6373,22 mins,1347,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-6-podbabska/6058a2c4bddf16359860c4f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Dejvická, 160 00 Praha-Praha 6, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Hydrologický ústav, 160 00 Praha-Praha 6, Czechia",OK,OK,OK,1.8 km,1757,24 mins,1432,,,,7.5 km,7475,26 mins,1535,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-1-senovazne-namesti/608152d5d2e350769330dd02/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Havlíčkova 1462/7, Nové Město, 110 00 Praha-Praha 1, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Senovážné nám. 978/23, Nové Město, 110 00 Praha-Praha 1, Czechia",OK,OK,OK,0.3 km,289,4 mins,210,,,,0.6 km,578,7 mins,431,,,
https://reality.idnes.cz/detail/prodej/byt/praha-3-cimburkova/6018c3d6109b637ff368cac3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jiřího z Poděbrad, 130 00 Praha-Praha 3, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Cimburkova 282/17, 130 00 Praha 3-Žižkov, Czechia",OK,OK,OK,1.1 km,1074,15 mins,908,,,,2.0 km,2050,26 mins,1541,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-plzenska/5fbcdfd9ccd4e866553a11c2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Nemocnice Motol, 150 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Plzeňská 21/312, 150 00 Praha 5-Motol, Czechia",OK,OK,OK,1.8 km,1849,24 mins,1433,,,,9.0 km,8986,29 mins,1749,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-9-pod-harfou/60009ab0ebd4104e4c18cc93/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Vysočanská, 190 00 Praha-Praha 9, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Pod Harfou 9, 190 00 Praha-Praha 9, Czechia",OK,OK,OK,1.1 km,1117,14 mins,844,,,,6.9 km,6890,25 mins,1495,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/6070245f9d9e3f7fc1089773/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Plynární 170 00, 170 00 Praha 7-Holešovice, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Malá Plynární 286/7, 170 00 Praha 7-Holešovice, Czechia",OK,OK,OK,0.4 km,417,6 mins,343,,,,4.2 km,4245,25 mins,1521,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha/6082b2b3c92e111ab27937e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Náměstí Míru Praha, 120 00 Praha-Praha 2, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Náměstí Míru, 120 00 Praha 2, Czechia",OK,OK,OK,7 m,7,1 min,6,,,,1.3 km,1304,15 mins,906,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-vrazova/5aaf9838a26e3a78ee600dd0/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Bozděchova 3, Smíchov, 150 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Vrázova 535, Smíchov, 150 00 Praha-Praha 5, Czechia",OK,OK,OK,0.3 km,312,4 mins,238,,,,2.1 km,2127,27 mins,1624,,,
https://reality.idnes.cz/detail/prodej/byt/praha-10-francouzska/608a801aaf95980ddb785567/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Náměstí Míru, 120 00 Praha 2, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Francouzská 230, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,OK,0.2 km,213,3 mins,183,,,,1.4 km,1440,17 mins,1021,,,
https://reality.idnes.cz/detail/prodej/byt/praha-4-malovicka/606dc66697573f4835259fe3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Chodov, 148 00 Praha-Praha 11, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Malovická 2752, 141 00 Praha 4-Záběhlice, Czechia",OK,OK,OK,2.5 km,2501,35 mins,2105,,,,11.2 km,11215,36 mins,2145,CZK,CZK 32.00,32
