locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value
https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/6066acbea8dc1e634a74dcc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Kačerov, 141 00 Praha-Praha 4, Czechia","U Plynárny 500, 140 00 Praha 4-Michle, Czechia",OK,OK,2.8 km,2833,37 mins,2196
https://reality.idnes.cz/detail/prodej/byt/praha-8-senovska/60533f611ecfce3a097170e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Střížkov, 190 00 Praha-Praha 9, Czechia","Šenovská 34, 182 00 Ďáblice, Czechia",OK,OK,3.0 km,3026,39 mins,2326
https://sreality.cz/detail/prodej/byt/4+kk/praha-podoli-v-podhaji/3491577436,"Smíchovské nádraží, 150 00 Praha-Praha 5, Czechia","V Podhájí 1807, 147 00 Praha 4-Braník, Czechia",OK,OK,4.1 km,4077,50 mins,3029
https://www.prazskereality.cz/na-prodej-nove-zrekonstruovany-cihlovy-byt-2-kk-ktery-se-7309744.html,"Stroupežnického 253/1, Smíchov, 150 00 Praha-Praha 5, Czechia","Plzeňská 488, Smíchov, 150 00 Praha-Praha 5, Czechia",OK,OK,1.0 km,977,13 mins,757
https://reality.idnes.cz/detail/prodej/byt/praha-5-radounova/6051affd0dbae778b62d60f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Stodůlky, 155 00 Praha-Praha 13, Czechia","Radouňova 417/5, 155 00 Řeporyje, Czechia",OK,OK,1.8 km,1821,24 mins,1457
https://reality.idnes.cz/detail/prodej/byt/praha-3-jicinska/6032e8d1a141d345bd7114d3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Flora, 130 00 Praha-Praha 3, Czechia","Přemyslovská 48/13, 130 00 Praha 3-Vinohrady, Czechia",OK,OK,70 m,70,1 min,60
https://www.prazskereality.cz/prostorny-byt-2-kk-s-orientaci-na-sever-o-celkove-obytne-7380880.html,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","Konšelská 1011/17, 180 00 Praha 8-Libeň, Czechia",OK,OK,1.1 km,1114,13 mins,797
https://reality.idnes.cz/detail/prodej/byt/praha-18-ostravska/608a8eeb2f83525f0c5eccb2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Letňany, 199 00 Praha-Praha 18, Czechia","Ostravská 627, 199 00 Praha-Letňany, Czechia",OK,OK,1.8 km,1770,23 mins,1365
https://reality.idnes.cz/detail/prodej/byt/praha-5-prusanecka/6081611dc1ef71210b16f9e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Zličín, 155 00 Praha-Zličín, Czechia","Prušánecká 492/3, 155 21 Zličín, Czechia",OK,OK,0.9 km,879,11 mins,650
https://reality.idnes.cz/detail/prodej/byt/praha-5-toufarova/6076d09e013e9110e9487aa3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Stodůlky, 155 00 Praha-Praha 13, Czechia","Toufarova 3015, 155 00 Řeporyje, Czechia",OK,OK,1.0 km,1028,14 mins,837
https://reality.idnes.cz/detail/prodej/byt/praha-6-radimova/5fa517db170e7607461ed593/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Liberijská 568, 160 00 Praha 6-Vokovice, Czechia","Radimova 65, 169 00 Praha 6-Břevnov, Czechia",OK,OK,2.1 km,2138,29 mins,1762
https://reality.idnes.cz/detail/prodej/byt/praha-4-zalesi/5fa3fe04b0330e1b6714c1c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Polikl. Budějovická, 140 00 Praha 4, Czechia","Zálesí 297/50, 142 00 Praha 4-Lhotka, Czechia",OK,OK,2.7 km,2664,35 mins,2087
https://reality.idnes.cz/detail/prodej/byt/praha-2-dittrichova/6079e760968911408e7f9313/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Gorazdova 8, 120 00 Praha 2-Nové Město, Czechia","Dittrichova 2, 120 00 Praha 2-Nové Město, Czechia",OK,OK,0.2 km,154,2 mins,103
https://reality.idnes.cz/detail/prodej/byt/praha-3-rehorova/60131af5735eb551081b8123/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Florenc Central Bus Station, Pod výtopnou 13/10, 186 00 Praha 8-Florenc, Czechia","Řehořova 964/28, 130 00 Praha 3-Žižkov, Czechia",OK,OK,1.2 km,1165,14 mins,821
https://reality.idnes.cz/detail/prodej/byt/praha-6-liberijska/5fa6e279a4ec042395017562/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Liberijská 568, 160 00 Praha 6-Vokovice, Czechia","Liberijská 568, 160 00 Praha 6-Vokovice, Czechia",OK,OK,13 m,13,1 min,9
https://reality.idnes.cz/detail/prodej/byt/praha-8-konselska/601c04cd8ac3bc66737ebb63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","Konšelská 1011/17, 180 00 Praha 8-Libeň, Czechia",OK,OK,1.1 km,1114,13 mins,797
https://reality.idnes.cz/detail/prodej/byt/praha-9-pod-harfou/60009ab0ebd4104e4c18cc93/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Vysočanská, 190 00 Praha-Praha 9, Czechia","Pod Harfou 9, 190 00 Praha-Praha 9, Czechia",OK,OK,1.1 km,1117,14 mins,844
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/6006b690cf9e7c60bc30cc23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha 5, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,1.5 km,1457,20 mins,1181
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/60059b66ca885e4085020313/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha 5, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,1.5 km,1457,20 mins,1181
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a7264f9700502a625516f/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Šolínova 1, 160 00 Praha 6-Dejvice, Czechia","Osvobození 1074, 165 00 Praha-Suchdol, Czechia",OK,OK,5.5 km,5545,1 hour 9 mins,4129
